,ActivityIdentifier,ActivityLatitude,ActivityLongitude,AnalysisStartDate,Contaminant,DetectedLevel,LevelUnit
21792,nwisny.01.01601565,,,,Lead,,
21797,nwisny.01.01601565,,,,Copper,,
21798,nwisny.01.01601565,,,,Lead,,
21932,nwisny.01.01602229,,,,Copper,,
21933,nwisny.01.01602229,,,,Lead,,
21938,nwisny.01.01602229,,,,Copper,,
21939,nwisny.01.01602229,,,,Lead,,
22004,nwisny.01.01602748,,,,Copper,,
22005,nwisny.01.01602748,,,,Lead,,
22010,nwisny.01.01602748,,,,Copper,,
22011,nwisny.01.01602748,,,,Lead,,
22075,nwisny.01.01700040,,,,Copper,,
22076,nwisny.01.01700040,,,,Lead,,
22081,nwisny.01.01700040,,,,Copper,,
22082,nwisny.01.01700040,,,,Lead,,
22158,nwisny.01.01600848,,,,Copper,,
22159,nwisny.01.01600848,,,,Lead,,
22164,nwisny.01.01600848,,,,Copper,,
22165,nwisny.01.01600848,,,,Lead,,
22215,nwisny.01.01601161,,,,Copper,,
22216,nwisny.01.01601161,,,,Lead,,
22221,nwisny.01.01601161,,,,Copper,,
22222,nwisny.01.01601161,,,,Lead,,
22284,nwisny.01.01601562,,,,Copper,,
22285,nwisny.01.01601562,,,,Lead,,
22290,nwisny.01.01601562,,,,Copper,,
22291,nwisny.01.01601562,,,,Lead,,
22425,nwisny.01.01602228,,,,Copper,,
22426,nwisny.01.01602228,,,,Lead,,
22431,nwisny.01.01602228,,,,Copper,,
22432,nwisny.01.01602228,,,,Lead,,
22497,nwisny.01.01602752,,,,Copper,,
22498,nwisny.01.01602752,,,,Lead,,
22503,nwisny.01.01602752,,,,Copper,,
22504,nwisny.01.01602752,,,,Lead,,
22568,nwisny.01.01700039,,,,Copper,,
22569,nwisny.01.01700039,,,,Lead,,
22574,nwisny.01.01700039,,,,Copper,,
22575,nwisny.01.01700039,,,,Lead,,
22651,nwisny.01.01600849,,,,Copper,,
22652,nwisny.01.01600849,,,,Lead,,
22657,nwisny.01.01600849,,,,Copper,,
22658,nwisny.01.01600849,,,,Lead,,
22706,nwisny.01.01601166,,,,Copper,,
22707,nwisny.01.01601166,,,,Lead,,
22712,nwisny.01.01601166,,,,Copper,,
22713,nwisny.01.01601166,,,,Lead,,
22775,nwisny.01.01601563,,,,Copper,,
22776,nwisny.01.01601563,,,,Lead,,
22781,nwisny.01.01601563,,,,Copper,,
22782,nwisny.01.01601563,,,,Lead,,
22903,nwisny.01.01602227,,,,Copper,,
22904,nwisny.01.01602227,,,,Lead,,
22909,nwisny.01.01602227,,,,Copper,,
22910,nwisny.01.01602227,,,,Lead,,
22990,nwisny.01.01602751,,,,Copper,,
22991,nwisny.01.01602751,,,,Lead,,
22996,nwisny.01.01602751,,,,Copper,,
22997,nwisny.01.01602751,,,,Lead,,
23061,nwisny.01.01700041,,,,Copper,,
23062,nwisny.01.01700041,,,,Lead,,
23067,nwisny.01.01700041,,,,Copper,,
23068,nwisny.01.01700041,,,,Lead,,
23142,nwisny.01.01600847,,,,Copper,,
23143,nwisny.01.01600847,,,,Lead,,
23148,nwisny.01.01600847,,,,Copper,,
23149,nwisny.01.01600847,,,,Lead,,
23196,nwisny.01.01601171,,,,Copper,,
23197,nwisny.01.01601171,,,,Lead,,
23202,nwisny.01.01601171,,,,Copper,,
23203,nwisny.01.01601171,,,,Lead,,
23265,nwisny.01.01601558,,,,Copper,,
23266,nwisny.01.01601558,,,,Lead,,
23271,nwisny.01.01601558,,,,Copper,,
23272,nwisny.01.01601558,,,,Lead,,
23405,nwisny.01.01602230,,,,Copper,,
23406,nwisny.01.01602230,,,,Lead,,
23411,nwisny.01.01602230,,,,Copper,,
23412,nwisny.01.01602230,,,,Lead,,
23476,nwisny.01.01602749,,,,Copper,,
23477,nwisny.01.01602749,,,,Lead,,
23482,nwisny.01.01602749,,,,Copper,,
23483,nwisny.01.01602749,,,,Lead,,
23547,nwisny.01.01700036,,,,Copper,,
23548,nwisny.01.01700036,,,,Lead,,
23553,nwisny.01.01700036,,,,Copper,,
23554,nwisny.01.01700036,,,,Lead,,
23631,nwisny.01.01600846,,,,Copper,,
23632,nwisny.01.01600846,,,,Lead,,
23637,nwisny.01.01600846,,,,Copper,,
23638,nwisny.01.01600846,,,,Lead,,
23684,nwisny.01.01601170,,,,Copper,,
23685,nwisny.01.01601170,,,,Lead,,
23690,nwisny.01.01601170,,,,Copper,,
23691,nwisny.01.01601170,,,,Lead,,
23754,nwisny.01.01601561,,,,Copper,,
23755,nwisny.01.01601561,,,,Lead,,
23760,nwisny.01.01601561,,,,Copper,,
23761,nwisny.01.01601561,,,,Lead,,
23879,nwisny.01.01602163,,,,Copper,,
23880,nwisny.01.01602163,,,,Lead,,
23885,nwisny.01.01602163,,,,Copper,,
23886,nwisny.01.01602163,,,,Lead,,
