,ActivityIdentifier,ActivityLatitude,ActivityLongitude,AnalysisStartDate,Contaminant,DetectedLevel,LevelUnit
235865,nwisny.01.01800318,,,2017-12-12,Copper,0.49,ug/l
235866,nwisny.01.01800318,,,2017-12-12,Lead,0.028,ug/l
236280,nwisny.01.01800594,,,2017-12-19,Copper,0.76,ug/l
236282,nwisny.01.01800594,,,2017-12-19,Lead,,
236335,nwisny.01.01800684,,,2018-02-05,Copper,0.46,ug/l
236336,nwisny.01.01800684,,,2018-02-05,Lead,,
236412,nwisny.01.01800825,,,2018-02-16,Copper,0.33,ug/l
236413,nwisny.01.01800825,,,2018-02-16,Lead,,
236464,nwisny.01.01800941,,,2018-03-15,Copper,0.37,ug/l
236465,nwisny.01.01800941,,,2018-03-15,Lead,,
236517,nwisny.01.01801232,,,2018-04-18,Lead,,
236532,nwisny.01.01801232,,,2018-04-18,Copper,0.46,ug/l
236552,nwisny.01.01801638,,,2018-05-18,Copper,0.56,ug/l
236553,nwisny.01.01801638,,,2018-05-18,Lead,,
236616,nwisny.01.01801784,,,2018-06-13,Copper,0.51,ug/l
236617,nwisny.01.01801784,,,2018-06-13,Lead,0.029,ug/l
236658,nwisny.01.01802252,,,2018-07-19,Copper,0.67,ug/l
236659,nwisny.01.01802252,,,2018-07-19,Lead,0.055,ug/l
236713,nwisny.01.01802773,,,2018-08-17,Copper,0.62,ug/l
236714,nwisny.01.01802773,,,2018-08-17,Lead,0.041,ug/l
236785,nwisny.01.01803275,,,2018-09-26,Copper,0.69,ug/l
236799,nwisny.01.01803275,,,2018-09-26,Lead,0.025,ug/l
236852,nwisny.01.01900205,,,2018-11-28,Copper,0.79,ug/l
236853,nwisny.01.01900205,,,2018-11-22,Lead,0.053,ug/l
236943,nwisny.01.01501626,,,2015-10-19,Copper,1.4,ug/l
236945,nwisny.01.01501626,,,2015-10-19,Lead,0.63,ug/l
237005,nwisny.01.01501627,,,2015-10-19,Copper,,
237007,nwisny.01.01501627,,,2015-10-19,Lead,0.109,ug/l
237068,nwisny.01.01501628,,,2015-10-19,Copper,0.97,ug/l
237070,nwisny.01.01501628,,,2015-10-19,Lead,0.116,ug/l
237148,nwisny.01.01501629,,,2015-10-19,Copper,1.1,ug/l
237150,nwisny.01.01501629,,,2015-10-19,Lead,0.463,ug/l
237191,nwisny.01.01501642,,,2015-10-19,Copper,0.91,ug/l
237193,nwisny.01.01501642,,,2015-10-19,Lead,0.084,ug/l
237834,nwisny.01.01400696,,,2014-06-23,Copper,3.6,ug/l
237836,nwisny.01.01400696,,,2014-06-23,Lead,2.22,ug/l
245597,nwisny.01.01500568,,,2015-05-15,Lead,,
245614,nwisny.01.01500568,,,2015-05-15,Copper,0.9,ug/l
245686,nwisny.01.01501103,,,2015-09-02,Lead,,
245702,nwisny.01.01501103,,,2015-09-02,Copper,1.1,ug/l
249052,nwisny.01.01602352,,,2016-09-28,Copper,,
249053,nwisny.01.01602352,,,2016-09-28,Lead,,
249398,nwisny.01.01700241,,,2017-02-22,Copper,0.93,ug/l
249399,nwisny.01.01700241,,,2017-02-22,Lead,0.031,ug/l
249567,nwisny.01.01700583,,,2017-04-06,Copper,0.93,ug/l
249581,nwisny.01.01700583,,,2017-04-06,Lead,0.026000000000000002,ug/l
249851,nwisny.01.01701182,,,2017-05-23,Copper,0.85,ug/l
249852,nwisny.01.01701182,,,2017-06-08,Lead,0.028999999999999998,ug/l
250084,nwisny.01.01800002,,,2017-11-28,Copper,1.2,ug/l
250085,nwisny.01.01800002,,,2017-11-28,Lead,0.021,ug/l
250137,nwisny.01.01800317,,,2017-12-12,Copper,0.93,ug/l
250138,nwisny.01.01800317,,,2017-12-12,Lead,0.039,ug/l
250635,nwisny.01.01800606,,,2017-12-19,Copper,1.0,ug/l
250656,nwisny.01.01800606,,,2017-12-19,Lead,0.028999999999999998,ug/l
250693,nwisny.01.01800683,,,2018-02-06,Copper,1.2,ug/l
250694,nwisny.01.01800683,,,2018-02-06,Lead,0.047,ug/l
250742,nwisny.01.01800796,,,2018-02-16,Copper,1.0,ug/l
250743,nwisny.01.01800796,,,2018-02-16,Lead,0.057,ug/l
251014,nwisny.01.01800940,,,2018-03-15,Copper,0.94,ug/l
251015,nwisny.01.01800940,,,2018-03-15,Lead,0.042,ug/l
251137,nwisny.01.01801230,,,2018-04-18,Copper,0.99,ug/l
251153,nwisny.01.01801230,,,2018-04-18,Lead,0.027000000000000003,ug/l
251304,nwisny.01.01801653,,,2018-05-15,Copper,0.85,ug/l
251305,nwisny.01.01801653,,,2018-05-15,Lead,0.028999999999999998,ug/l
251375,nwisny.01.01801789,,,2018-06-14,Copper,0.94,ug/l
251396,nwisny.01.01801789,,,2018-06-14,Lead,0.026000000000000002,ug/l
251422,nwisny.01.01802250,,,2018-07-19,Copper,1.1,ug/l
251423,nwisny.01.01802250,,,2018-07-19,Lead,0.026000000000000002,ug/l
251636,nwisny.01.01802772,,,2018-08-18,Lead,0.022000000000000002,ug/l
251651,nwisny.01.01802772,,,2018-08-18,Copper,0.67,ug/l
251680,nwisny.01.01803210,,,2018-09-18,Copper,0.65,ug/l
251681,nwisny.01.01803210,,,2018-09-18,Lead,,
252180,nwisny.01.01500566,,,2015-05-15,Copper,,
252181,nwisny.01.01500566,,,2015-05-15,Lead,,
252243,nwisny.01.01501101,,,2015-09-01,Copper,,
252244,nwisny.01.01501101,,,2015-09-01,Lead,,
252328,nwisny.01.01600155,,,2015-11-23,Copper,,
252329,nwisny.01.01600155,,,2015-11-23,Lead,0.16,ug/l
252442,nwisny.01.01600947,,,2016-05-13,Lead,,
252443,nwisny.01.01600947,,,2016-05-13,Copper,,
252511,nwisny.01.01602348,,,2016-09-27,Copper,,
252512,nwisny.01.01602348,,,2016-09-27,Lead,,
252599,nwisny.01.01700234,,,2017-02-22,Copper,0.72,ug/l
252600,nwisny.01.01700234,,,2017-02-22,Lead,0.055999999999999994,ug/l
252704,nwisny.01.01700596,,,2017-04-06,Lead,0.036000000000000004,ug/l
252718,nwisny.01.01700596,,,2017-04-06,Copper,0.42,ug/l
252808,nwisny.01.01701178,,,2017-05-23,Copper,0.49,ug/l
252809,nwisny.01.01701178,,,2017-05-23,Lead,0.046,ug/l
252917,nwisny.01.01702271,,,2017-10-07,Copper,0.45,ug/l
252930,nwisny.01.01702271,,,2017-10-07,Lead,0.036000000000000004,ug/l
253005,nwisny.01.01800008,,,2017-11-28,Copper,0.63,ug/l
253006,nwisny.01.01800008,,,2017-11-28,Lead,0.025,ug/l
253038,nwisny.01.01800309,,,2017-12-12,Lead,0.078,ug/l
253039,nwisny.01.01800309,,,2017-12-12,Copper,0.58,ug/l
253470,nwisny.01.01800621,,,2017-12-15,Copper,0.65,ug/l
253471,nwisny.01.01800621,,,2017-12-15,Lead,0.063,ug/l
253524,nwisny.01.01800694,,,2018-02-05,Copper,0.8,ug/l
253525,nwisny.01.01800694,,,2018-02-05,Lead,0.051,ug/l
253577,nwisny.01.01800824,,,2018-02-16,Copper,0.45,ug/l
253578,nwisny.01.01800824,,,2018-02-16,Lead,0.040999999999999995,ug/l
253668,nwisny.01.01801135,,,2018-03-16,Copper,0.34,ug/l
253669,nwisny.01.01801135,,,2018-03-16,Lead,0.036000000000000004,ug/l
253709,nwisny.01.01801376,,,2018-04-12,Copper,,
253710,nwisny.01.01801376,,,2018-04-12,Lead,0.038,ug/l
253744,nwisny.01.01801652,,,2018-05-18,Copper,,
253745,nwisny.01.01801652,,,2018-05-18,Lead,0.039,ug/l
253811,nwisny.01.01801703,,,2018-06-14,Copper,,
253812,nwisny.01.01801703,,,2018-06-14,Lead,0.037000000000000005,ug/l
253848,nwisny.01.01802511,,,2018-07-12,Copper,0.45,ug/l
253849,nwisny.01.01802511,,,2018-07-12,Lead,0.033,ug/l
253927,nwisny.01.01802771,,,2018-08-20,Copper,0.41,ug/l
253928,nwisny.01.01802771,,,2018-08-20,Lead,0.040999999999999995,ug/l
253958,nwisny.01.01803302,,,2018-09-14,Copper,0.41,ug/l
253959,nwisny.01.01803302,,,2018-09-14,Lead,0.027000000000000003,ug/l
254404,nwisny.01.01500567,,,2015-05-15,Copper,,
254420,nwisny.01.01500567,,,2015-05-15,Lead,0.073,ug/l
254470,nwisny.01.01501100,,,2015-09-02,Copper,0.95,ug/l
254471,nwisny.01.01501100,,,2015-09-02,Lead,,
254556,nwisny.01.01600157,,,2015-11-23,Lead,,
254571,nwisny.01.01600157,,,2015-11-23,Copper,1.1,ug/l
254671,nwisny.01.01600948,,,2016-05-13,Lead,,
254672,nwisny.01.01600948,,,2016-05-13,Copper,,
254742,nwisny.01.01602349,,,2016-09-28,Copper,2.1,ug/l
254743,nwisny.01.01602349,,,2016-09-28,Lead,0.14400000000000002,ug/l
254832,nwisny.01.01700249,,,2017-02-22,Copper,1.1,ug/l
254833,nwisny.01.01700249,,,2017-02-22,Lead,,
254936,nwisny.01.01700595,,,2017-04-06,Copper,1.4,ug/l
254937,nwisny.01.01700595,,,2017-04-06,Lead,0.023,ug/l
255042,nwisny.01.01701179,,,2017-05-23,Copper,0.96,ug/l
255057,nwisny.01.01701179,,,2017-05-23,Lead,0.024,ug/l
255140,nwisny.01.01702281,,,2017-10-06,Copper,1.0,ug/l
255141,nwisny.01.01702281,,,2017-10-06,Lead,0.037000000000000005,ug/l
255215,nwisny.01.01800007,,,2017-11-28,Copper,0.79,ug/l
255216,nwisny.01.01800007,,,2017-11-28,Lead,,
255269,nwisny.01.01800308,,,2017-12-12,Copper,0.66,ug/l
255270,nwisny.01.01800308,,,2017-12-12,Lead,0.024,ug/l
255685,nwisny.01.01800622,,,2017-12-15,Copper,0.61,ug/l
255686,nwisny.01.01800622,,,2017-12-15,Lead,,
255734,nwisny.01.01800695,,,2018-02-05,Copper,0.79,ug/l
255735,nwisny.01.01800695,,,2018-02-05,Lead,,
255816,nwisny.01.01800823,,,2018-02-21,Copper,0.74,ug/l
255817,nwisny.01.01800823,,,2018-02-21,Lead,,
255919,nwisny.01.01801136,,,2018-03-16,Copper,0.54,ug/l
255920,nwisny.01.01801136,,,2018-03-16,Lead,,
255974,nwisny.01.01801375,,,2018-04-12,Lead,5.38,ug/l
255987,nwisny.01.01801375,,,2018-04-12,Copper,0.7,ug/l
256009,nwisny.01.01801651,,,2018-05-18,Copper,0.78,ug/l
256010,nwisny.01.01801651,,,2018-05-18,Lead,,
256075,nwisny.01.01801701,,,2018-06-14,Copper,0.91,ug/l
256076,nwisny.01.01801701,,,2018-06-14,Lead,0.024,ug/l
256112,nwisny.01.01802510,,,2018-07-12,Copper,1.2,ug/l
256113,nwisny.01.01802510,,,2018-07-12,Lead,,
256170,nwisny.01.01802770,,,2018-08-18,Copper,1.1,ug/l
256171,nwisny.01.01802770,,,2018-08-18,Lead,0.027000000000000003,ug/l
256238,nwisny.01.01803303,,,2018-09-14,Copper,1.4,ug/l
256260,nwisny.01.01803303,,,2018-09-14,Lead,0.024,ug/l
278672,nwisny.01.01600949,,,2016-05-13,Lead,0.084,ug/l
278673,nwisny.01.01600949,,,2016-05-13,Copper,,
278759,nwisny.01.01602350,,,2016-09-27,Copper,,
278760,nwisny.01.01602350,,,2016-09-27,Lead,0.15,ug/l
278864,nwisny.01.01700254,,,2017-02-22,Copper,2.3,ug/l
278865,nwisny.01.01700254,,,2017-02-22,Lead,0.426,ug/l
278957,nwisny.01.01700593,,,2017-04-06,Copper,1.2,ug/l
278973,nwisny.01.01700593,,,2017-04-06,Lead,0.023,ug/l
279004,nwisny.01.01700594,,,2017-04-06,Copper,,
279005,nwisny.01.01700594,,,2017-04-06,Lead,,
279114,nwisny.01.01701180,,,2017-06-07,Copper,0.68,ug/l
279115,nwisny.01.01701180,,,2017-05-23,Lead,0.11599999999999999,ug/l
279213,nwisny.01.01702280,,,2017-10-06,Copper,1.3,ug/l
279214,nwisny.01.01702280,,,2017-10-06,Lead,0.207,ug/l
279293,nwisny.01.01800001,,,2017-11-28,Copper,0.85,ug/l
279294,nwisny.01.01800001,,,2017-11-28,Lead,0.124,ug/l
279327,nwisny.01.01800307,,,2017-12-12,Lead,0.14,ug/l
279328,nwisny.01.01800307,,,2017-12-12,Copper,0.83,ug/l
279759,nwisny.01.01800623,,,2017-12-15,Copper,0.56,ug/l
279760,nwisny.01.01800623,,,2017-12-15,Lead,0.096,ug/l
279809,nwisny.01.01800822,,,2018-02-21,Copper,0.51,ug/l
279810,nwisny.01.01800822,,,2018-02-21,Lead,0.096,ug/l
279886,nwisny.01.01801137,,,2018-03-16,Copper,0.44,ug/l
279887,nwisny.01.01801137,,,2018-03-16,Lead,0.08800000000000001,ug/l
279941,nwisny.01.01801373,,,2018-04-12,Copper,0.52,ug/l
279942,nwisny.01.01801373,,,2018-04-12,Lead,0.08900000000000001,ug/l
279977,nwisny.01.01801650,,,2018-05-18,Copper,0.69,ug/l
279978,nwisny.01.01801650,,,2018-05-18,Lead,0.08900000000000001,ug/l
280041,nwisny.01.01801702,,,2018-06-14,Lead,0.192,ug/l
280056,nwisny.01.01801702,,,2018-06-14,Copper,0.68,ug/l
280078,nwisny.01.01802509,,,2018-07-12,Copper,0.53,ug/l
280079,nwisny.01.01802509,,,2018-07-12,Lead,0.1,ug/l
280136,nwisny.01.01802769,,,2018-08-20,Lead,0.10400000000000001,ug/l
280150,nwisny.01.01802769,,,2018-08-20,Copper,0.64,ug/l
280207,nwisny.01.01803305,,,2018-09-14,Copper,0.71,ug/l
280208,nwisny.01.01803305,,,2018-09-14,Lead,0.10300000000000001,ug/l
280273,nwisny.01.01900194,,,2018-11-27,Copper,0.85,ug/l
280274,nwisny.01.01900194,,,2018-11-27,Lead,0.106,ug/l
280362,nwisny.01.01600950,,,2016-05-13,Copper,1.0,ug/l
280363,nwisny.01.01600950,,,2016-05-13,Lead,0.043,ug/l
280466,nwisny.01.01602351,,,2016-09-27,Copper,,
280467,nwisny.01.01602351,,,2016-09-27,Lead,,
280556,nwisny.01.01700233,,,2017-02-22,Copper,0.74,ug/l
280557,nwisny.01.01700233,,,2017-02-22,Lead,,
280688,nwisny.01.01701181,,,2017-05-23,Copper,0.8,ug/l
280689,nwisny.01.01701181,,,2017-05-23,Lead,,
280795,nwisny.01.01702270,,,2017-10-07,Copper,0.68,ug/l
280811,nwisny.01.01702270,,,2017-10-07,Lead,0.021,ug/l
280880,nwisny.01.01800004,,,2017-11-27,Copper,0.74,ug/l
280881,nwisny.01.01800004,,,2017-11-27,Lead,,
280930,nwisny.01.01800305,,,2017-12-12,Copper,0.65,ug/l
280931,nwisny.01.01800305,,,2017-12-12,Lead,,
281345,nwisny.01.01800605,,,2017-12-19,Copper,0.97,ug/l
281347,nwisny.01.01800605,,,2017-12-19,Lead,,
281402,nwisny.01.01800608,,,2017-12-19,Copper,1.0,ug/l
281404,nwisny.01.01800608,,,2017-12-19,Lead,,
281459,nwisny.01.01801229,,,2018-04-18,Copper,0.88,ug/l
281460,nwisny.01.01801229,,,2018-04-18,Lead,,
281496,nwisny.01.01801649,,,2018-05-15,Lead,,
281513,nwisny.01.01801649,,,2018-05-15,Copper,0.66,ug/l
281562,nwisny.01.01801786,,,2018-06-14,Lead,,
281580,nwisny.01.01801786,,,2018-06-14,Copper,0.72,ug/l
281605,nwisny.01.01802263,,,2018-07-25,Copper,0.84,ug/l
281606,nwisny.01.01802263,,,2018-07-25,Lead,,
281659,nwisny.01.01802768,,,2018-08-17,Copper,0.81,ug/l
281660,nwisny.01.01802768,,,2018-08-17,Lead,,
281724,nwisny.01.01803208,,,2018-09-25,Copper,0.63,ug/l
281725,nwisny.01.01803208,,,2018-09-25,Lead,,
281795,nwisny.01.01900195,,,2018-11-27,Copper,0.92,ug/l
281796,nwisny.01.01900195,,,2018-11-27,Lead,,
306511,nwisny.01.01700203,,,2017-01-19,Copper,,
306779,nwisny.01.01700205,,,2017-01-19,Copper,,
306811,nwisny.01.01701934,,,2017-07-14,Copper,,
307078,nwisny.01.01701935,,,2017-07-14,Copper,,
307477,nwisny.01.01802337,,,2018-08-25,Copper,,
308021,nwisny.01.01700261,,,2017-02-14,Copper,,
308057,nwisny.01.01702742,,,2017-10-18,Copper,,
308329,nwisny.01.01802688,,,2018-09-06,Copper,,
308781,nwisny.01.01602700,,,2016-12-02,Copper,21.5,ug/l
308783,nwisny.01.01602700,,,2016-12-02,Lead,0.37,ug/l
309087,nwisny.01.01700204,,,2017-01-19,Copper,,
309124,nwisny.01.01701936,,,2017-07-14,Copper,,
309561,nwisny.01.01802341,,,2018-08-25,Copper,,
310104,nwisny.01.01700262,,,2017-02-01,Copper,,
310140,nwisny.01.01702714,,,2017-10-11,Copper,,
310412,nwisny.01.01802685,,,2018-09-06,Copper,,
311086,nwisny.01.01700201,,,2017-02-01,Copper,,
311122,nwisny.01.01701768,,,2017-07-06,Copper,,
311526,nwisny.01.01802984,,,2018-09-14,Copper,,
311840,nwisny.01.01602958,,,2017-01-19,Copper,2.3,ug/l
311842,nwisny.01.01602958,,,2017-01-06,Lead,0.2,ug/l
311922,nwisny.01.01602744,,,2017-01-06,Copper,0.99,ug/l
311924,nwisny.01.01602744,,,2017-01-06,Lead,0.17,ug/l
312004,nwisny.01.01602699,,,2016-11-22,Copper,22.1,ug/l
312006,nwisny.01.01602699,,,2016-11-22,Lead,0.24,ug/l
312124,nwisny.01.01803159,,,2018-09-27,Copper,,
312793,nwisny.01.01700448,,,2017-02-08,Copper,,
312827,nwisny.01.01701734,,,2017-06-29,Copper,,
313226,nwisny.01.01802308,,,2018-08-24,Copper,,
313533,nwisny.01.01802758,,,2018-09-08,Copper,,
313984,nwisny.01.01602698,,,2016-11-28,Copper,10.3,ug/l
313986,nwisny.01.01602698,,,2016-11-28,Lead,0.3,ug/l
314117,nwisny.01.01603179,,,2017-01-04,Copper,6.9,ug/l
314119,nwisny.01.01603179,,,2017-01-04,Lead,0.4,ug/l
314422,nwisny.01.01700072,,,2017-01-11,Copper,,
314459,nwisny.01.01702739,,,2017-10-18,Copper,,
314730,nwisny.01.01802545,,,2018-08-30,Copper,,
315453,nwisny.01.01700227,,,2017-01-23,Copper,,
315488,nwisny.01.01702738,,,2017-10-18,Copper,,
315758,nwisny.01.01802541,,,2018-08-30,Copper,,
316211,nwisny.01.01602745,,,2016-12-13,Copper,3.4,ug/l
316213,nwisny.01.01602745,,,2016-12-13,Lead,0.2,ug/l
316640,nwisny.01.01700076,,,2017-01-06,Copper,,
316677,nwisny.01.01701733,,,2017-06-29,Copper,,
316946,nwisny.01.01802554,,,2018-08-29,Copper,,
317718,nwisny.01.01700228,,,2017-01-23,Copper,,
317756,nwisny.01.01702737,,,2017-10-18,Copper,,
318027,nwisny.01.01802536,,,2018-08-30,Copper,,
319773,nwisny.01.01700202,,,2017-01-19,Copper,,
319810,nwisny.01.01701732,,,2017-06-29,Copper,,
320077,nwisny.01.01802533,,,2018-08-29,Copper,,
321111,nwisny.01.01700145,,,2017-01-14,Copper,,
321379,nwisny.01.01700146,,,2017-01-14,Copper,,
321415,nwisny.01.01701590,,,2017-06-15,Copper,,
321685,nwisny.01.01802761,,,2018-09-08,Copper,,
322136,nwisny.01.01602450,,,2016-10-19,Copper,0.59,ug/l
322138,nwisny.01.01602450,,,2016-10-19,Lead,0.04,ug/l
322218,nwisny.01.01602615,,,2016-10-26,Copper,3.9,ug/l
322220,nwisny.01.01602615,,,2016-10-26,Lead,0.07,ug/l
322300,nwisny.01.01700002,,,2017-01-06,Copper,11.0,ug/l
322302,nwisny.01.01700002,,,2017-01-06,Lead,0.33,ug/l
322605,nwisny.01.01700159,,,2017-01-14,Copper,,
322639,nwisny.01.01701767,,,2017-07-06,Copper,,
322907,nwisny.01.01900220,,,2018-10-30,Copper,,
323766,nwisny.01.01602701,,,2016-11-28,Copper,4.8,ug/l
323768,nwisny.01.01602701,,,2016-11-28,Lead,0.29,ug/l
323845,nwisny.01.01802548,,,2018-08-30,Copper,,
324511,nwisny.01.01402122,,,2014-05-13,Copper,120.0,ug/l
324513,nwisny.01.01402122,,,2014-05-13,Lead,,
324538,nwisny.01.01400694,,,2014-06-20,Copper,160.0,ug/l
324540,nwisny.01.01400694,,,2014-06-20,Lead,,
324571,nwisny.01.01402124,,,2014-07-22,Copper,60.0,ug/l
324573,nwisny.01.01402124,,,2014-07-22,Lead,,
324602,nwisny.01.01402129,,,2014-08-18,Copper,180.0,ug/l
324604,nwisny.01.01402129,,,2014-08-18,Lead,,
324627,nwisny.01.01401603,,,2014-10-22,Copper,80.0,ug/l
324629,nwisny.01.01401603,,,2014-10-22,Lead,,
324652,nwisny.01.01400469,,,2014-04-23,Copper,50.0,ug/l
324654,nwisny.01.01400469,,,2014-04-23,Lead,,
324704,nwisny.01.01402123,,,2014-05-13,Copper,40.0,ug/l
324706,nwisny.01.01402123,,,2014-05-13,Lead,,
324742,nwisny.01.01400695,,,2014-06-20,Copper,20.0,ug/l
324744,nwisny.01.01400695,,,2014-06-20,Lead,,
324782,nwisny.01.01402125,,,2014-09-03,Copper,10.0,ug/l
324784,nwisny.01.01402125,,,2014-09-03,Lead,,
324819,nwisny.01.01500254,,,2014-10-22,Copper,10.0,ug/l
324821,nwisny.01.01500254,,,2014-10-22,Lead,,
324857,nwisny.01.01500255,,,2014-10-22,Copper,10.0,ug/l
324859,nwisny.01.01500255,,,2014-10-22,Lead,,
324895,nwisny.01.01402119,,,2014-01-30,Copper,,
324897,nwisny.01.01402119,,,2014-01-30,Lead,,
324935,nwisny.01.01402126,,,2014-09-03,Copper,20.0,ug/l
324937,nwisny.01.01402126,,,2014-09-03,Lead,,
324968,nwisny.01.01500256,,,2014-10-22,Copper,,
324970,nwisny.01.01500256,,,2014-10-22,Lead,,
325239,nwisny.01.01700075,,,2017-01-06,Copper,,
325276,nwisny.01.01701589,,,2017-06-15,Copper,,
325674,nwisny.01.01802246,,,2018-08-20,Copper,,
326211,nwisny.01.01700226,,,2017-01-25,Copper,,
326248,nwisny.01.01702371,,,2017-09-20,Copper,,
326647,nwisny.01.01803181,,,2018-09-24,Copper,,
326963,nwisny.01.01602619,,,2016-11-09,Copper,,
326965,nwisny.01.01602619,,,2016-11-09,Lead,,
327034,nwisny.01.01602620,,,2016-11-09,Copper,,
327036,nwisny.01.01602620,,,2016-11-09,Lead,,
327336,nwisny.01.01700414,,,2017-02-02,Copper,,
327372,nwisny.01.01702247,,,2017-08-25,Copper,,
327643,nwisny.01.01802558,,,2018-08-31,Copper,,
328094,nwisny.01.01602621,,,2016-10-26,Copper,5.0,ug/l
328096,nwisny.01.01602621,,,2016-10-26,Lead,0.19,ug/l
329403,nwisny.01.01700207,,,2017-01-18,Copper,,
329437,nwisny.01.01702316,,,2017-09-14,Copper,,
329837,nwisny.01.01802249,,,2018-08-20,Copper,,
330503,nwisny.01.01700158,,,2017-01-17,Copper,,
330536,nwisny.01.01701766,,,2017-07-06,Copper,,
331056,nwisny.01.01803186,,,2018-09-24,Copper,1.4,ug/l
331363,nwisny.01.01803187,,,2018-09-24,Copper,1.4,ug/l
332624,nwisny.01.01602617,,,2016-10-25,Copper,19.9,ug/l
332626,nwisny.01.01602617,,,2016-10-25,Lead,0.34,ug/l
332831,nwisny.01.01602957,,,2016-12-21,Copper,2.8,ug/l
332833,nwisny.01.01602957,,,2016-12-21,Lead,0.21,ug/l
333369,nwisny.01.01800034,,,2017-12-13,Copper,3.5,ug/l
333371,nwisny.01.01800034,,,2017-12-05,Lead,0.4,ug/l
333579,nwisny.01.01800098,,,2017-12-06,Copper,3.1,ug/l
333581,nwisny.01.01800098,,,2017-12-21,Lead,0.71,ug/l
333856,nwisny.01.01800033,,,2017-12-28,Copper,,
333858,nwisny.01.01800033,,,2017-12-28,Lead,1.64,ug/l
333999,nwisny.01.01800099,,,2017-12-22,Copper,9.1,ug/l
334001,nwisny.01.01800099,,,2017-12-22,Lead,7.49,ug/l
334209,nwisny.01.01800032,,,2017-12-14,Copper,8.6,ug/l
334211,nwisny.01.01800032,,,2017-12-14,Lead,2.24,ug/l
334419,nwisny.01.01800078,,,2017-12-07,Copper,4.5,ug/l
334421,nwisny.01.01800078,,,2017-12-28,Lead,1.54,ug/l
334629,nwisny.01.01800100,,,2017-12-22,Copper,5.1,ug/l
334631,nwisny.01.01800100,,,2017-12-22,Lead,5.43,ug/l
334842,nwisny.01.01602618,,,2017-02-09,Copper,3.5,ug/l
334844,nwisny.01.01602618,,,2017-02-17,Lead,0.326,ug/l
335509,nwisny.01.01602449,,,2016-10-19,Copper,1.5,ug/l
335511,nwisny.01.01602449,,,2016-10-19,Lead,0.13,ug/l
336073,nwisny.01.01700206,,,2017-01-18,Copper,,
336107,nwisny.01.01701588,,,2017-06-15,Copper,,
336508,nwisny.01.01802129,,,2018-08-15,Copper,,
339678,nwisny.01.01802243,,,2018-08-20,Copper,,
340254,nwisny.01.01602616,,,2016-10-25,Copper,11.3,ug/l
340256,nwisny.01.01602616,,,2016-10-25,Lead,0.43,ug/l
341078,nwisny.01.01700024,,,2017-01-13,Copper,2.1,ug/l
341113,nwisny.01.01701587,,,2017-06-14,Copper,,
341513,nwisny.01.01802324,,,2018-08-21,Copper,,
342261,nwisny.01.01602451,,,2016-10-18,Copper,0.92,ug/l
342263,nwisny.01.01602451,,,2016-10-18,Lead,0.12,ug/l
342689,nwisny.01.01700073,,,2017-01-11,Copper,,
342725,nwisny.01.01702246,,,2017-08-25,Copper,,
343126,nwisny.01.01802321,,,2018-08-23,Copper,,
343924,nwisny.01.01700445,,,2017-02-07,Copper,2.9,ug/l
343958,nwisny.01.01701933,,,2017-07-12,Copper,13.9,ug/l
344225,nwisny.01.01802682,,,2018-09-05,Copper,,
347695,nwisny.01.01600080,,,2015-11-10,Copper,24.9,ug/l
347839,nwisny.01.01600080,,,2015-11-10,Lead,10.5,ug/l
348290,nwisny.01.01600079,,,2015-11-10,Lead,8.02,ug/l
348292,nwisny.01.01600079,,,2015-11-10,Copper,29.3,ug/l
348516,nwisny.01.01600302,,,2015-12-11,Copper,31.9,ug/l
348694,nwisny.01.01600302,,,2015-12-11,Lead,17.8,ug/l
348868,nwisny.01.01600077,,,2015-11-10,Copper,84.9,ug/l
348888,nwisny.01.01600077,,,2015-11-10,Lead,34.3,ug/l
349189,nwisny.01.01600020,,,2015-11-03,Copper,312.0,ug/l
349192,nwisny.01.01600020,,,2015-10-23,Lead,55.8,ug/l
349800,nwisny.01.01600078,,,2015-11-10,Copper,8.9,ug/l
349803,nwisny.01.01600078,,,2015-11-10,Lead,2.31,ug/l
350161,nwisny.01.01600303,,,2015-12-11,Lead,5.27,ug/l
350164,nwisny.01.01600303,,,2015-12-11,Copper,5.5,ug/l
350185,nwisny.01.01600058,,,2015-11-04,Copper,93.2,ug/l
350541,nwisny.01.01600058,,,2015-11-04,Lead,17.6,ug/l
350804,nwisny.01.01600052,,,2015-10-27,Copper,1.6,ug/l
350807,nwisny.01.01600052,,,2015-10-27,Lead,0.18,ug/l
350990,nwisny.01.01600408,,,2016-01-04,Copper,2.6,ug/l
350993,nwisny.01.01600408,,,2016-01-04,Lead,0.29,ug/l
351685,nwisny.01.01600044,,,2015-10-23,Lead,4.44,ug/l
351686,nwisny.01.01600044,,,2015-10-23,Copper,9.0,ug/l
351763,nwisny.01.01600051,,,2015-11-04,Lead,179.0,ug/l
352026,nwisny.01.01600051,,,2015-11-09,Copper,694.0,ug/l
352330,nwisny.01.01600048,,,2015-11-04,Lead,4.61,ug/l
352462,nwisny.01.01600048,,,2015-11-04,Copper,13.0,ug/l
352510,nwisny.01.01600308,,,2015-12-18,Copper,667.0,ug/l
352512,nwisny.01.01600308,,,2015-12-10,Lead,177.0,ug/l
353162,nwisny.01.01600037,,,2015-10-26,Lead,187.0,ug/l
353165,nwisny.01.01600037,,,2015-11-03,Copper,434.0,ug/l
